name,iso3,year,percent,residence,indicator,pop,region,income_id
Caribbean Netherlands,BES,2010,NA,national,Safely managed,20940.99998474121,NA,NA
Caribbean Netherlands,BES,2020,NA,national,Safely managed,26221.00067138672,NA,NA
Cayman Islands,CYM,2000,NA,national,Safely managed,42305.00030517578,Latin America & Caribbean,HIC
Cayman Islands,CYM,2010,NA,national,Safely managed,56672.00088500977,Latin America & Caribbean,HIC
Cayman Islands,CYM,2020,NA,national,Safely managed,65720.001220703125,Latin America & Caribbean,HIC
Central African Republic,CAF,2000,19.67585889665365,national,Safely managed,3640420.8984375,Sub-Saharan Africa,LIC
Central African Republic,CAF,2010,17.15613615813037,national,Safely managed,4386765.13671875,Sub-Saharan Africa,LIC
Central African Republic,CAF,2020,13.60380656230462,national,Safely managed,4829764.16015625,Sub-Saharan Africa,LIC
Chad,TCD,2000,8.60256927965537,national,Safely managed,8355654.296875,Sub-Saharan Africa,LIC
Chad,TCD,2010,8.895495426620078,national,Safely managed,11952133.7890625,Sub-Saharan Africa,LIC
Chad,TCD,2020,10.1371175936059,national,Safely managed,16425859.375,Sub-Saharan Africa,LIC
Channel Islands,CHI,2000,NA,national,Safely managed,148438.9953613281,Europe & Central Asia,HIC
Channel Islands,CHI,2010,81.5,national,Safely managed,159718.0023193359,Europe & Central Asia,HIC
Channel Islands,CHI,2020,NA,national,Safely managed,173858.9935302734,Europe & Central Asia,HIC
Chile,CHL,2000,50.93020344107615,national,Safely managed,15342349.609375,Latin America & Caribbean,HIC
Chile,CHL,2010,62.85662722821329,national,Safely managed,17062531.25,Latin America & Caribbean,HIC
Chile,CHL,2020,78.60140201053301,national,Safely managed,19116208.984375,Latin America & Caribbean,HIC
China,CHN,2000,13.12912376306078,national,Safely managed,1312517250,East Asia & Pacific,UMC
China,CHN,2010,35.32940401616524,national,Safely managed,1391998125,East Asia & Pacific,UMC
China,CHN,2020,69.65580704648934,national,Safely managed,1463140500,East Asia & Pacific,UMC
"China, Hong Kong SAR",HKG,2000,86.10844888552322,national,Safely managed,6606328.125,East Asia & Pacific,HIC
"China, Hong Kong SAR",HKG,2010,86.03163817445608,national,Safely managed,6966324.21875,East Asia & Pacific,HIC
"China, Hong Kong SAR",HKG,2020,85.92190858721729,national,Safely managed,7496987.79296875,East Asia & Pacific,HIC
"China, Macao SAR",MAC,2000,54.72221620347318,national,Safely managed,427772.0031738281,East Asia & Pacific,HIC
"China, Macao SAR",MAC,2010,55.79875247463541,national,Safely managed,538215.02685546875,East Asia & Pacific,HIC
"China, Macao SAR",MAC,2020,66.56411518625964,national,Safely managed,649341.97998046875,East Asia & Pacific,HIC
Colombia,COL,2000,15.16005961797358,national,Safely managed,39629964.84375,Latin America & Caribbean,UMC
Colombia,COL,2010,16.79012144922092,national,Safely managed,45222699.21875,Latin America & Caribbean,UMC
Colombia,COL,2020,18.31487835811589,national,Safely managed,50882882.8125,Latin America & Caribbean,UMC
Comoros,COM,2000,NA,national,Safely managed,542357.97119140625,Sub-Saharan Africa,LMC
Comoros,COM,2010,NA,national,Safely managed,689695.98388671875,Sub-Saharan Africa,LMC
Comoros,COM,2020,NA,national,Safely managed,869594.970703125,Sub-Saharan Africa,LMC
Congo,COG,2000,NA,national,Safely managed,3127419.921875,Sub-Saharan Africa,LMC
Congo,COG,2010,NA,national,Safely managed,4273737.79296875,Sub-Saharan Africa,LMC
Congo,COG,2020,NA,national,Safely managed,5518091.796875,Sub-Saharan Africa,LMC
Cook Islands,COK,2000,NA,national,Safely managed,17934.99946594238,NA,NA
Cook Islands,COK,2010,NA,national,Safely managed,18392.00019836426,NA,NA
Cook Islands,COK,2020,NA,national,Safely managed,17563.99917602539,NA,NA
Costa Rica,CRI,2000,38.85099431978247,national,Safely managed,3962368.896484375,Latin America & Caribbean,UMC
Costa Rica,CRI,2010,35.1215559306444,national,Safely managed,4577371.09375,Latin America & Caribbean,UMC
Costa Rica,CRI,2020,30.20443582185965,national,Safely managed,5094113.76953125,Latin America & Caribbean,UMC
Côte d'Ivoire,CIV,2000,NA,national,Safely managed,16454660.15625,Sub-Saharan Africa,LMC
Côte d'Ivoire,CIV,2010,NA,national,Safely managed,20532943.359375,Sub-Saharan Africa,LMC
Côte d'Ivoire,CIV,2020,NA,national,Safely managed,26378275.390625,Sub-Saharan Africa,LMC
